sku,product_description,category,application_type,r_value,thickness_mm,insulation_width,material_density,bale_size_sqm,retail_price,pack_price,created_at
PIL-001,Premier Glasswool Masonry Wall & Service Cavity R1.0 40mm,Glasswool,Masonry Wall & Service Cavity,R1.0 40mm,40mm,1200mm,13kg/m³,36,1.94,69.85,
PIL-002,Premier Glasswool Masonry Wall & Service Cavity R1.3 50mm,Glasswool,Masonry Wall & Service Cavity,R1.3 50mm,50mm,1200mm,16kg/m³,18,3.22,58,
PIL-003,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R2.2 70mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R2.2 70mm,70mm,580mm,24kg/m³,10.44,7.52,78.5,
PIL-004,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R1.8 75mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R1.8 75mm,75mm,1200mm,12kg/m³,18,3.78,68,
PIL-005,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R2.2 90mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R2.2 90mm,90mm,1200mm,12kg/m³,15.6,4.07,63.5,
PIL-006,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R2.4 90mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R2.4 90mm,90mm,1200mm,18kg/m³,12,6.21,74.5,
PIL-007,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R2.6 90mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R2.6 90mm,90mm,1200mm,24kg/m³,8.4,8.04,67.5,
PIL-008,"Premier Glasswool 90mm Wall, Mid-Floor & HD Ceiling R2.8 90mm",Glasswool,"Wall, Mid-Floor & HD Ceiling",R2.8 90mm,90mm,1200mm,32kg/m³,6,11,66,
PIL-009,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Segments (430mm width) R3.2 115mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R3.2 115mm,115mm,430mm,22kg/m³,5.68,11.45,65,
PIL-010,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Blanket (1,200mm width) R3.2 140mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R3.2 140mm,140mm,1200mm,11kg/m³,12,5.95,71.4,
PIL-011,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Blanket (1,200mm width) R3.6 140mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R3.6 140mm,140mm,1200mm,16kg/m³,7.8,8.78,68.5,
PIL-012,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Blanket (1,200mm width) R4.0 140mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R4.0 140mm,140mm,1200mm,24kg/m³,5.4,12.5,67.5,
PIL-013,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Blanket (580mm width) R4.4 140mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R4.4 140mm,140mm,580mm,32kg/m³,4.18,17.95,75,
PIL-014,"Premier Glasswool 140mm Wall, Mid-Floor & Skillion Roof - Segments (430mm width) R4.5 165mm",Glasswool,"Wall, Mid-Floor & Skillion Roof",R4.5 165mm,165mm,430mm,20kg/m³,4.13,13.68,56.5,
